Date,Sex,FW Size
15-May-15,M,
15-May-15,F,
15-May-15,?,
15-May-15,?,
15-May-15,?,
15-May-15,?,
15-May-15,?,
15-May-15,?,
15-May-15,?,
15-May-15,?,
15-May-15,?,
15-May-15,F,
15-May-15,?,
15-May-15,?,
15-May-15,?,
15-May-15,?,
15-May-15,?,
15-May-15,?,
15-May-15,?,
15-May-15,?,
15-May-15,?,
15-May-15,?,
16-May-15,F,
16-May-15,M,
16-May-15,F,
16-May-15,M,
16-May-15,F,
16-May-15,M,
16-May-15,M,
16-May-15,M,
16-May-15,M,
16-May-15,M,
16-May-15,M,
16-May-15,M,
16-May-15,F,
16-May-15,?,
16-May-15,?,
16-May-15,M,
16-May-15,F,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,M,
16-May-15,F,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,?,
16-May-15,M,
17-May-15,M,
17-May-15,M,
17-May-15,F,
17-May-15,M,
17-May-15,?,
17-May-15,?,
17-May-15,?,
17-May-15,?,
17-May-15,?,
17-May-15,?,
17-May-15,?,
17-May-15,?,
17-May-15,?,
18-May-15,F,
18-May-15,F,
18-May-15,F,
18-May-15,F,
18-May-15,?,
18-May-15,?,
18-May-15,?,
18-May-15,?,
18-May-15,?,
18-May-15,?,
18-May-15,?,
18-May-15,?,
20-May-15,M,
20-May-15,M,
20-May-15,M,
20-May-15,M,
20-May-15,M,
20-May-15,M,
20-May-15,M,
20-May-15,M,
20-May-15,M,
20-May-15,F,
20-May-15,M,
20-May-15,M,
20-May-15,M,
20-May-15,M,
20-May-15,M,
20-May-15,F,
20-May-15,F,
20-May-15,M,
20-May-15,?,
20-May-15,?,
20-May-15,?,
20-May-15,?,
20-May-15,?,
20-May-15,?,
20-May-15,?,
20-May-15,?,
20-May-15,?,
20-May-15,?,
20-May-15,?,
21-May-15,M,
21-May-15,M,
21-May-15,M,
21-May-15,M,
21-May-15,?,
21-May-15,?,
22-May-15,M,
22-May-15,M,
22-May-15,M,
22-May-15,M,
22-May-15,M,
22-May-15,M,
22-May-15,M,
22-May-15,M,
22-May-15,M,
22-May-15,M,
22-May-15,M,
22-May-15,M,
22-May-15,M,
22-May-15,F,
22-May-15,M,
22-May-15,F,
22-May-15,F,
22-May-15,M,
22-May-15,M,
22-May-15,M,
22-May-15,M,
22-May-15,F,
22-May-15,F,
22-May-15,?,
22-May-15,?,
22-May-15,?,
22-May-15,?,
22-May-15,?,
22-May-15,?,
22-May-15,M,
22-May-15,?,
22-May-15,?,
22-May-15,?,
22-May-15,?,
22-May-15,?,
22-May-15,?,
22-May-15,?,
22-May-15,?,
22-May-15,?,
22-May-15,?,
22-May-15,?,
22-May-15,?,
22-May-15,?,
22-May-15,?,
22-May-15,?,
22-May-15,?,
22-May-15,?,
22-May-15,M,
22-May-15,F,
30-May-15,F,
30-May-15,F,
30-May-15,M,
30-May-15,F,
30-May-15,M,
30-May-15,M,
30-May-15,M,
30-May-15,F,
30-May-15,M,
30-May-15,M,
30-May-15,F,
30-May-15,F,
30-May-15,F,
30-May-15,M,
30-May-15,F,
30-May-15,M,
30-May-15,F,
30-May-15,M,
30-May-15,F,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,?,
30-May-15,F,
31-May-15,,
31-May-15,M,
31-May-15,M,
31-May-15,M,
31-May-15,M,
31-May-15,M,
31-May-15,M,
31-May-15,F,
31-May-15,F,
31-May-15,F,
31-May-15,F,
31-May-15,F,
31-May-15,?,
31-May-15,?,
31-May-15,?,
31-May-15,?,
31-May-15,?,
31-May-15,?,
31-May-15,?,
31-May-15,?,
31-May-15,?,
31-May-15,?,
31-May-15,?,
31-May-15,?,
31-May-15,?,
31-May-15,?,
31-May-15,?,
31-May-15,?,
31-May-15,?,
31-May-15,?,
31-May-15,?,
31-May-15,?,
31-May-15,?,
31-May-15,?,
12-Jun-15,M,
12-Jun-15,F,
12-Jun-15,M,
12-Jun-15,F,
12-Jun-15,F,
12-Jun-15,F,
12-Jun-15,M,
12-Jun-15,F,
12-Jun-15,?,
12-Jun-15,?,
12-Jun-15,?,
12-Jun-15,?,
12-Jun-15,?,
12-Jun-15,?,
12-Jun-15,?,
12-Jun-15,?,
12-Jun-15,?,
12-Jun-15,?,
12-Jun-15,?,
12-Jun-15,?,
12-Jun-15,?,
13-Jun-15,M,
13-Jun-15,F,
13-Jun-15,F,
13-Jun-15,M,
13-Jun-15,M,
13-Jun-15,?,
13-Jun-15,?,
13-Jun-15,?,
13-Jun-15,?,
13-Jun-15,?,
13-Jun-15,?,
13-Jun-15,?,
13-Jun-15,?,
13-Jun-15,?,
13-Jun-15,?,
13-Jun-15,?,
14-Jun-15,M,
14-Jun-15,M,
14-Jun-15,M,
14-Jun-15,M,
14-Jun-15,F,
14-Jun-15,M,
14-Jun-15,F,
14-Jun-15,F,
14-Jun-15,M,
14-Jun-15,?,
14-Jun-15,?,
14-Jun-15,?,
14-Jun-15,?,
14-Jun-15,?,
14-Jun-15,?,
14-Jun-15,?,
14-Jun-15,?,
14-Jun-15,?,
14-Jun-15,?,
14-Jun-15,?,
14-Jun-15,?,
14-Jun-15,?,
14-Jun-15,?,
14-Jun-15,?,
15-Jun-15,M,
15-Jun-15,M,
15-Jun-15,M,
15-Jun-15,M,
15-Jun-15,M,
15-Jun-15,M,
15-Jun-15,?,
15-Jun-15,?,
15-Jun-15,?,
15-Jun-15,?,
15-Jun-15,?,
15-Jun-15,?,
15-Jun-15,?,
15-Jun-15,?,
18-Jun-15,F,
18-Jun-15,?,
18-Jun-15,?,
18-Jun-15,?,
18-Jun-15,?,
19-Jun-15,?,
19-Jun-15,? ,
19-Jun-15,?,
19-Jun-15,?,
20-Jun-15,F,
20-Jun-15,?,
20-Jun-15,?,
21-Jun-15,F,
21-Jun-15,F,
21-Jun-15,?,
21-Jun-15,?,
21-Jun-15,?,
22-Jun-15,F,
22-Jun-15,F,
22-Jun-15,?,
22-Jun-15,?,
22-Jun-15,?,
28-Jun-15,?,
20-Aug-15,? ,
20-Aug-15,? ,
20-Aug-15,? ,
21-Aug-15,?,
9-Sep-15,?,
11-Aprl-16,?,
12-May-16,?,
12-May-16,?,
14-May-16,F,
15-May-16,?,
15-May-16,M,
16-May-16,M,
16-May-16,M,
16-May-16,?,
20-May-16,M,
20-May-16,?,
20-May-16,?,
20-May-16,?,
20-May-16,M,
20-May-16,?,
20-May-16,?,
20-May-16,?,
20-May-16,?,
21-May-16,?,
21-May-16,?,
21-May-16,?,
21-May-16,?,
21-May-16,?,
21-May-16,?,
21-May-16,?,
21-May-16,M,
21-May-16,?,
22-May-16,?,
22-May-16,?,
24-May-16,?,
24-May-16,?,
24-May-16,?,
24-May-16,M,
24-May-16,?,
25-May-16,?,
25-May-16,?,
25-May-16,?,
25-May-16,?,
25-May-16,F,
25-May-16,?,
25-May-16,?,
25-May-16,?,
25-May-16,M,
25-May-16,F,
25-May-16,M,
25-May-16,?,
25-May-16,?,
26-May-16,?,
1-Jun-16,?,
1-Jun-16,?,
2-Jun-16,M,
2-Jun-16,?,
2-Jun-16,F,
2-Jun-16,?,
3-Jun-16,M,
3-Jun-16,?,
8-Jun-16,?,
8-Jun-16,?,
9-Jun-16,M,
9-Jun-16,F,
15-Jun-16,?,
16-Jun-16,?,
16-Jun-16,?,
16-Jun-16,?,
17-Jun-16,?,
17-Jun-16,M,
17-Jun-16,F,
18-Jun-16,?,
18-Jun-16,?,
12-Sep-16,?,
12-Sep-16,?,
12-Sep-16,?,
13-Sep-16,?,
13-Sep-16,?,
13-Sep-16,?,
14-Sep-16,?,
14-Sep-16,?,
14-Sep-16,?,
14-Sep-16,?,
14-Sep-16,?,
14-Sep-16,?,
14-Sep-16,?,
14-Sep-16,?,
14-Sep-16,?,
14-Sep-16,?,
15-Sep-16,?,
2-Jun-17,M,
2-Jun-17,?,
2-Jun-17,M,
2-Jun-17,?,
2-Jun-17,?,
3-Jun-17,?,
4-Jun-17,?,
4-Jun-17,?,
4-Jun-17,?,
4-Jun-17,?,
5-Jun-17,?,
5-Jun-17,?,
5-Jun-17,?,
5-Jun-17,F,
5-Jun-17,?,
5-Jun-17,?,
5-Jun-17,?,
7-Jun-17,F,
8-Jun-17,?,
9-Jun-17,?,
10-Jun-17,F,
10-Jun-17,?,
10-Jun-17,?,
11-Jun-17,?,
11-Jun-17,?,
13-Jun-17,M,
14-Jun-17,M,
14-Jun-17,F,
